Kalimat #,Word,Tag
0,tiap,O
0,makan,O
0,kesini,O
0,ngga,O
0,pernah,O
0,cuma,O
0,1,O
0,atau,O
0,2,O
0,porsi,O
0,pasti,O
0,nambah,O
0,terus,O
0,karena,O
0,emang,O
0,pas,B-FOOD
0,banget,I-FOOD
0,rasanya,I-FOOD
0,di,I-FOOD
0,lidah,I-FOOD
0,black,B-FOOD
0,peppernya,I-FOOD
0,yang,I-FOOD
0,paling,I-FOOD
0,enak,I-FOOD
0,disini,I-FOOD
0,emang,O
0,selalu,O
0,waiting,O
0,list,O
0,cuma,O
0,sei,O
0,sapi,O
0,lamalera,O
0,absolutely,B-MISCELLANEOUS
0,worth,I-MISCELLANEOUS
0,to,I-MISCELLANEOUS
0,wait,I-MISCELLANEOUS
0,recommended,B-MISCELLANEOUS
1,se’i,B-FOOD
1,sapi,I-FOOD
1,sambel,I-FOOD
1,lu’at,I-FOOD
1,nya,I-FOOD
1,dabest,I-FOOD
1,pertama,O
1,kesini,O
1,pas,O
1,jam,O
1,8,O
1,malam,O
1,tp,O
1,udh,O
1,close,O
1,order,O
1,dan,O
1,cuma,O
1,bisa,O
1,take,O
1,away,O
1,karna,O
1,udh,O
1,terlalu,O
1,ramai,O
1,mungkin,O
1,ya,O
1,tapi,O
1,ga,O
1,asik,O
1,ya,O
1,kalo,O
1,kali,O
1,pertama,O
1,nyobain,O
1,se’i,O
1,tapi,O
1,dibungkus,O
1,jadi,O
1,kita,O
1,mutusin,O
1,untuk,O
1,dateng,O
1,lg,O
1,besok,O
1,paginya,O
1,dan,O
1,kita,O
1,pesan,O
1,ini,O
1,se’i,B-FOOD
1,sapi,I-FOOD
1,sambel,I-FOOD
1,lu’at,I-FOOD
1,se’i,B-FOOD
1,sapi,I-FOOD
1,sambel,I-FOOD
1,matah,O
1,se’i,B-FOOD
1,sapi,I-FOOD
1,sambel,I-FOOD
1,ijo,O
1,se’i,B-FOOD
1,sapi,I-FOOD
1,sambel,I-FOOD
1,andaliman,O
1,se’i,B-FOOD
1,sapi,I-FOOD
1,ricarica,O
1,untuk,O
1,semua,O
1,daging,O
1,rasanya,O
1,sama,O
1,hanya,O
1,sambel,O
1,nya,O
1,aja,O
1,yg,O
1,ngebedain,O
1,dari,O
1,semua,O
1,sambel,O
1,aku,O
1,paling,O
1,suka,O
1,sambel,I-FOOD
1,lu’at,I-FOOD
1,rasa,B-FOOD
1,sambelnya,I-FOOD
1,seru,I-FOOD
1,gtu,I-FOOD
1,seger,I-FOOD
1,dan,O
1,mungkin,O
1,karna,O
1,ada,O
1,perasan,O
1,jeruk,O
1,nipis,O
1,nya,O
1,untuk,O
1,pelayanannya,B-SERVICE
1,cukup,I-SERVICE
1,cepat,I-SERVICE
1,dan,O
1,ambiance,B-AMBIENCE
1,nya,I-AMBIENCE
1,jg,I-AMBIENCE
1,oke,I-AMBIENCE
1,kalau,O
1,mau,O
1,kesini,O
1,hindari,O
1,jam,O
1,makan,O
1,siang,O
1,ya,O
1,waiting,O
1,listnya,O
1,ganahan,O
1,hehe,O
1,tp,O
1,kalau,O
1,km,O
1,termasuk,O
1,org,O
1,yang,O
1,sabar,O
1,km,O
1,bisa,O
1,makan,O
1,cilor,O
1,goreng,O
1,yg,O
1,dijual,O
1,percis,O
1,didepan,O
1,kedai,O
1,sambil,O
1,nunggu,O
1,antrian,O
1,selamat,O
1,mencoba,O
2,martabak,I-FOOD
2,ini,I-FOOD
2,lokasinya,O
2,deket,O
2,banget,O
2,sama,O
2,rumahku,O
2,rasanya,B-FOOD
2,enak,I-FOOD
2,dan,O
2,ga,O
2,pernah,O
2,berubah,O
2,dari,O
2,aku,O
2,kecil,O
2,bener,B-FOOD
2,bener,I-FOOD
2,suka,I-FOOD
2,sama,I-FOOD
2,martabak,I-FOOD
2,ini,I-FOOD
3,aku,O
3,kasih,O
3,rate,O
3,35,O
3,yah,O
3,atau,O
3,setara,O
3,dengan,O
3,70,O
3,khusus,O
3,kulineran,O
3,ke,O
3,bandungggini,O
3,salah,O
3,satu,O
3,resto,O
3,di,O
3,bandung,O
3,yang,O
3,ratingnya,O
3,tinggi,O
3,datang,O
3,hari,O
3,minggu,O
3,waw,O
3,harus,O
3,antri,O
3,uda,O
3,kayak,O
3,kepuskemas,O
3,antriannya,O
3,mirip,O
3,bgt,O
3,dikasih,O
3,bangku2,O
3,model,O
3,gitu,O
3,tapi,O
3,gaak,O
3,lama,O
3,dipanggil,O
3,kok,O
3,uda,O
3,dpt,O
3,mejanya,O
3,disini,O
3,bisa,O
3,lesehan,O
3,juga,O
3,kalo,O
3,mau,O
3,yah,O
3,aku,O
3,cobain,O
3,menu2,O
3,yang,O
3,keliatannya,O
3,enakk,O
3,1,O
3,gurame,O
3,bakar,O
3,rasanya,O
3,biasa,O
3,saja,O
3,gak,B-FOOD
3,terlalu,I-FOOD
3,menyerap,I-FOOD
3,bumbunya,I-FOOD
3,karena,O
3,bumbu,O
3,kecap,O
3,bawang,O
3,dan,O
3,tomatnya,O
3,seperti,O
3,dilumuri,O
3,diluar,O
3,sajaa,O
3,harganya,O
3,idr83k,O
3,before,O
3,tax,O
3,8,O
3,ons,O
3,2,O
3,ayam,O
3,bakar,O
3,nah,O
3,ini,O
3,aku,O
3,lebih,O
3,suka,O
3,kalo,O
3,bumbunya,O
3,menyerap,O
3,sayangnya,O
3,tidakidr,O
3,20k,O
3,3,O
3,perkedel,O
3,lumayan,O
3,sih,O
3,agak2,O
3,garing,O
3,seporsi,O
3,isi,O
3,5,O
3,kecilkecil,O
3,4,O
3,daging,O
3,sapi,O
3,goreng,O
3,kurang,B-FOOD
3,sukaa,I-FOOD
3,sih,I-FOOD
3,karena,I-FOOD
3,kayak,I-FOOD
3,kurang,I-FOOD
3,taste,I-FOOD
3,gitu,I-FOOD
3,5,O
3,gepuk,O
3,bukan,O
3,yang,O
3,my,O
3,fav,O
3,tapi,O
3,its,O
3,okee,O
3,lah,O
3,idr,O
3,20k,O
3,an,O
3,juga,O
3,deh,O
3,6,O
3,nasi,O
3,liwet,O
