text,label
"tiap makan kesini ngga pernah cuma 1 atau 2 porsi, pasti nambah terus, karena emang pas banget rasanya di lidah. black peppernya yang paling enak disini.  emang selalu waiting list, cuma sei sapi lamalera absolutely worth to wait! recommended!","[{""end"": 111, ""labels"": [""Positive"", ""Food""], ""start"": 84, ""text"": ""pas banget rasanya di lidah""}, {""end"": 152, ""labels"": [""Positive"", ""Food""], ""start"": 113, ""text"": ""black peppernya yang paling enak disini""}, {""end"": 229, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 205, ""text"": ""absolutely worth to wait""}, {""end"": 242, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 231, ""text"": ""recommended""}]"
"se’i sapi sambel lu’at nya dabest!   pertama kesini pas jam 8 malam tp udh close order dan cuma bisa take away karna udh terlalu ramai mungkin ya, tapi ga asik ya kalo kali pertama nyobain se’i tapi dibungkus    jadi kita mutusin untuk dateng lg besok paginya dan kita pesan ini:  se’i sapi sambel lu’at   se’i sapi sambel matah  se’i sapi sambel ijo  se’i sapi sambel andaliman  se’i sapi rica-rica  untuk semua daging rasanya sama, hanya sambel nya aja yg ngebedain. dari semua sambel, aku paling suka sambel lu’at  rasa sambelnya seru gtu seger dan mungkin karna ada perasan jeruk nipis nya(?) untuk pelayanannya cukup cepat dan ambiance nya jg oke.  kalau mau kesini hindari jam makan siang ya, waiting listnya ganahan hehe. tp kalau km termasuk org yang sabar, km bisa makan cilor goreng yg dijual percis didepan kedai sambil nunggu antrian. selamat mencoba! ","[{""end"": 33, ""labels"": [""Positive"", ""Food""], ""start"": 0, ""text"": ""se\u2019i sapi sambel lu\u2019at nya dabest""}, {""end"": 547, ""labels"": [""Positive"", ""Food""], ""start"": 518, ""text"": ""rasa sambelnya seru gtu seger""}, {""end"": 627, ""labels"": [""Positive"", ""Service""], ""start"": 603, ""text"": ""pelayanannya cukup cepat""}, {""end"": 651, ""labels"": [""Positive"", ""Ambience""], ""start"": 632, ""text"": ""ambiance nya jg oke""}]"
martabak ini lokasinya deket banget sama rumahku rasanya enak dan ga pernah berubah dari aku kecil bener bener suka sama martabak ini.,"[{""end"": 61, ""labels"": [""Positive"", ""Food""], ""start"": 49, ""text"": ""rasanya enak""}, {""end"": 133, ""labels"": [""Positive"", ""Food""], ""start"": 99, ""text"": ""bener bener suka sama martabak ini""}]"
"aku kasih rate 3.5 yah atau setara dengan 70  khusus kulineran ke bandunggg,,,ini salah satu resto di bandung yang ratingnya tinggi. datang hari minggu, waw harus antri uda kayak kepuskemas antriannya mirip bgt dikasih bangku2 model gitu.  tapi gaak lama dipanggil kok uda dpt mejanya. disini bisa lesehan juga kalo mau yah.  aku cobain menu2 yang keliatannya enakk : 1. gurame bakar : rasanya biasa saja, gak terlalu menyerap bumbunya. karena bumbu kecap, bawang, dan tomatnya seperti dilumuri diluar sajaa. harganya idr.83k before tax /8 ons  2. ayam bakar : nah ini aku lebih suka kalo bumbunya menyerap, sayangnya tidak.idr. 20k++  3. perkedel : lumayan sih agak2 garing seporsi isi 5 kecil-kecil  4. daging sapi goreng: kurang sukaa sih karena kayak kurang taste gitu.  5. gepuk : bukan yang my fav, tapi its okee lah. idr. 20k an juga deh  6. nasi liwet : berharap ada rasa gurih2nya dari nasi liwet disini ,, taunya sama aja kayak makan nasi putih  7. jengkol : nah ini pesenan partner-ku, kata doi ga ada rasanya jadi agak2 hambar cabainya juga. cmn temenku yg lain bilang kayak makan kentang kalo jengkol disini.","[{""end"": 435, ""labels"": [""Negative"", ""Food""], ""start"": 406, ""text"": ""gak terlalu menyerap bumbunya""}, {""end"": 772, ""labels"": [""Negative"", ""Food""], ""start"": 725, ""text"": ""kurang sukaa sih karena kayak kurang taste gitu""}]"
"cozy place, great taste of food and beverage, good price. excellence. recommended place to dine in. the staff are help full.","[{""end"": 10, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""cozy place""}, {""end"": 44, ""labels"": [""Positive"", ""Food""], ""start"": 12, ""text"": ""great taste of food and beverage""}, {""end"": 56, ""labels"": [""Positive"", ""Price""], ""start"": 46, ""text"": ""good price""}, {""end"": 123, ""labels"": [""Positive"", ""Service""], ""start"": 100, ""text"": ""the staff are help full""}, {""end"": 98, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 70, ""text"": ""recommended place to dine in""}]"
"masuk pertama kali untuk ordernya langsung di suguhin bau khas kopi lebih ke beli tempat sih krn adem banget parah, pas banget kalo lagi stres hirup udara segar konsepnya calling name, jadi kita sebut atas nama siapa di orderan kita terus aa aa nya nanti nyari kita keliling2 seluas cafe itu kopinya suka bangettt, pesen vietnam coffee sesuai sama harga but, dengan harga cireng dan pisang goreng segitu expensive sih terus pisangnya terlalu keras, balik lagi emang disuguhin susana yg asri bangettt pelayanannya semuaaa ramah banget, sampe aa nya ada bercanda2nnya gitu pas nganterin orderan. pas banget buat yg lagi stress harus kesini sih  drink : vietnam coffee (8.5/10)  snacks : cireng (8/10) pisang goreng keju (6/10)  +instagramable +outdoor","[{""end"": 114, ""labels"": [""Positive"", ""Ambience""], ""start"": 97, ""text"": ""adem banget parah""}, {""end"": 313, ""labels"": [""Positive"", ""Food""], ""start"": 292, ""text"": ""kopinya suka bangettt""}, {""end"": 353, ""labels"": [""Positive"", ""Price""], ""start"": 336, ""text"": ""sesuai sama harga""}, {""end"": 413, ""labels"": [""Negative"", ""Price""], ""start"": 404, ""text"": ""expensive""}, {""end"": 447, ""labels"": [""Negative"", ""Food""], ""start"": 424, ""text"": ""pisangnya terlalu keras""}, {""end"": 533, ""labels"": [""Positive"", ""Service""], ""start"": 500, ""text"": ""pelayanannya semuaaa ramah banget""}, {""end"": 499, ""labels"": [""Positive"", ""Ambience""], ""start"": 476, ""text"": ""susana yg asri bangettt""}, {""end"": 740, ""labels"": [""Positive"", ""Ambience""], ""start"": 727, ""text"": ""instagramable""}]"
nangka goreng nyaaaaaaa ,"[{""end"": 23, ""labels"": [""Positive"", ""Food""], ""start"": 0, ""text"": ""nangka goreng nyaaaaaaa""}]"
"makanan enak, pesan cireng, pisang goreng, red velvet, nasi goreng, black tea dam kopi(lupa nama kopinya di menu) untuk rasa makanan rasa rumahan sekali. tempatnya asik buat nongkrong bersama teman, pasangan ataupun keluarga. i'll be back for sure","[{""end"": 12, ""labels"": [""Positive"", ""Food""], ""start"": 0, ""text"": ""makanan enak""}, {""end"": 152, ""labels"": [""Positive"", ""Food""], ""start"": 120, ""text"": ""rasa makanan rasa rumahan sekali""}, {""end"": 224, ""labels"": [""Positive"", ""Ambience""], ""start"": 154, ""text"": ""tempatnya asik buat nongkrong bersama teman, pasangan ataupun keluarga""}, {""end"": 247, ""labels"": [""Positive"", ""Miscellaneous""], ""start"": 226, ""text"": ""i'll be back for sure""}]"
"suasananya enak banget. alam banget. jd bs rehat sejenak dr hiruk pikuk kota. kids friendly jg. toilet bersih. kopinya enak2. aku suka liberica (panas/dingin enak). es teh manisnya pekatttt banget dan banyak. suka.  cemilan jg enak2. tp sayang makanan beratnya vegetarian semua, jd kalau lg laper susah.  review lengkapnya ada di blog aku ya : https://www.roosvansia.com/2019/09/armor-coffee-tempat-nongkrong-hitz-di.html","[{""end"": 22, ""labels"": [""Positive"", ""Ambience""], ""start"": 0, ""text"": ""suasananya enak banget""}, {""end"": 109, ""labels"": [""Positive"", ""Service""], ""start"": 96, ""text"": ""toilet bersih""}, {""end"": 124, ""labels"": [""Positive"", ""Food""], ""start"": 111, ""text"": ""kopinya enak2""}, {""end"": 232, ""labels"": [""Positive"", ""Food""], ""start"": 216, ""text"": ""cemilan jg enak2""}, {""end"": 207, ""labels"": [""Positive"", ""Food""], ""start"": 165, ""text"": ""es teh manisnya pekatttt banget dan banyak""}]"
"lupa tahun berapa pas dateng antara 2016 atau 2017 an, belom terlalu overrated mungkin kayak skrg. awal-awal juga pas masuk agask susah karna kita kayak dilempar sana-sini buat menuju si armor kopi, tempatnya nyempil dan memang agak susah. pas dtg seneng banget sih sama suasananya, for sure","[{""end"": 281, ""labels"": [""Positive"", ""Ambience""], ""start"": 248, ""text"": ""seneng banget sih sama suasananya""}]"
