Kalimat #,Word,Tag
1,Pengamat,O
1,politik,O
1,dari,O
1,Universitas,B-ORGANIZATION
1,Gadjah,I-ORGANIZATION
1,Mada,I-ORGANIZATION
1,Arie,B-PERSON
1,Sudjito,I-PERSON
1,menilai,O
1,keinginan,O
1,Ketua,O
1,Umum,O
1,Partai,B-ORGANIZATION
1,Golkar,I-ORGANIZATION
1,Aburizal,B-PERSON
1,Bakrie,I-PERSON
1,untuk,O
1,maju,O
1,kembali,O
1,sebagai,O
1,ketua,O
1,umum,O
1,merupakan,O
1,pemaksaan,O
1,kehendak,O
2,Menurut,O
2,dia,O
2,ada,O
2,kesan,O
2,bahwa,O
2,Aburizal,B-PERSON
2,menggunakan,O
2,segala,O
2,cara,O
2,untuk,O
2,memuluskan,O
2,jalannya,O
2,kembali,O
2,menduduki,O
2,Golkar,B-ORGANIZATION
2,1,O
3,Hal,O
3,ini,O
3,kata,O
3,Arie,B-PERSON
3,berpotensi,O
3,menimbukan,O
3,perpecahan,O
3,di,O
3,kalangan,O
3,kader,O
3,Golkar,B-PERSON
3,di,O
3,daerah,O
4,``,O
4,Tentu,O
4,ini,O
4,akan,O
4,merugikan,O
4,Golkar,B-ORGANIZATION
4,karena,O
4,Golkar,B-ORGANIZATION
4,akan,O
4,pecah,O
4,dan,O
4,konflik,O
4,di,O
4,daerah,O
4,dipastikan,O
4,akan,O
4,terjadi,O
4,'',O
4,ujar,O
4,Arie,B-PERSON
4,saat,O
4,dihubungi,O
4,Kompas.com,O
4,Selasa,B-TIME
4,2/12/2014,I-TIME
5,Arie,B-PERSON
5,mengatakan,O
5,sikap,O
5,Aburizal,B-PERSON
5,tersebut,O
5,ditentang,O
5,oleh,O
5,sebagian,O
5,kalangan,O
5,di,O
5,internal,O
5,Golkar,B-ORGANIZATION
5,yang,O
5,melakukan,O
5,perlawanan,O
5,dengan,O
5,membentuk,O
5,Presidium,B-ORGANIZATION
5,Penyelamat,I-ORGANIZATION
5,Partai,I-ORGANIZATION
5,Golkar,B-ORGANIZATION
6,Selain,O
6,itu,O
6,dua,O
6,calon,O
6,ketua,O
6,umum,O
6,menyatakan,O
6,mundur,O
6,dan,O
6,tak,O
6,akan,O
6,mencalonkan,O
6,diri,O
7,Mereka,O
7,adalah,O
7,MS,B-PERSON
7,Hidayat,I-PERSON
7,dan,O
7,Airlangga,B-PERSON
7,Hartarto,I-PERSON
8,Hidayat,B-PERSON
8,dan,O
8,Airlangga,B-PERSON
8,mundur,O
8,karena,O
8,menganggap,O
8,ada,O
8,proses,O
8,yang,O
8,tidak,O
8,demokratis,O
8,dan,O
8,tidak,O
8,fair,O
8,dalam,O
8,Munas,O
8,IX,O
8,yang,O
8,berlangsung,O
8,di,O
8,Bali,B-LOCATION
9,``,O
9,Upaya,O
9,Airlangga,B-PERSON
9,serius,O
9,bertarung,O
9,tapi,O
9,melihat,O
9,gelagat,O
9,tidak,O
9,sehat,O
9,maka,O
9,lebih,O
9,baik,O
9,mundur,O
9,Itu,O
9,pun,O
9,jalan,O
9,moderat,O
9,'',O
9,kata,O
9,Arie,B-PERSON
10,Dengan,O
10,mundurnya,O
10,Hidayat,B-PERSON
10,dan,O
10,Airlangga,B-PERSON
10,Aburizal,B-PERSON
10,berpotensi,O
10,menjadi,O
10,calon,O
10,tunggal,O
10,ketua,O
10,umum,O
10,yang,O
10,akan,O
10,dipilih,O
10,dalam,O
10,Munas,O
10,IX,O
11,Menurut,O
11,Arie,B-PERSON
11,jika,O
11,Aburizal,B-PERSON
11,terus,O
11,memaksakan,O
11,kehendaknya,O
11,bukan,O
11,tidak,O
11,mungkin,O
11,Golkar,B-ORGANIZATION
11,akan,O
11,menyusul,O
11,Partai,B-ORGANIZATION
11,Persatuan,I-ORGANIZATION
11,Pembangunan,I-ORGANIZATION
11,yang,O
11,terpecah,O
11,karena,O
11,konflik,O
11,internal,O
12,Arie,B-PERSON
12,mengatakan,O
12,para,O
12,petinggi,O
12,partai,O
12,segera,O
12,melakukan,O
12,langkah-langkah,O
12,untuk,O
12,menyelamatkan,O
12,partai,O
12,berlambang,O
12,pohon,O
12,beringin,O
12,tersebut,O
13,``,O
13,Ini,O
13,indikasi,O
13,atau,O
13,tanda-tanda,O
13,kebangkrutan,O
13,Golkar,B-ORGANIZATION
13,'',O
13,kata,O
13,Arie,B-PERSON
14,Wakil,O
14,Ketua,O
14,DPR,B-ORGANIZATION
14,Fadli,B-PERSON
14,Zon,I-PERSON
14,mengkritik,O
14,pemerintahan,O
14,Joko,B-PERSON
14,Widodo,I-PERSON
14,yang,O
14,dinilainya,O
14,lambat,O
14,dalam,O
14,melakukan,O
14,eksekusi,O
14,terhadap,O
14,para,O
14,terpidana,O
14,mati,O
14,kasus,O
14,narkoba,O
15,Menurut,O
15,Fadli,B-PERSON
15,semakin,O
15,cepat,O
15,eksekusi,O
15,dilakukan,O
15,hal,O
15,itu,O
15,akan,O
15,semakin,O
15,baik,O
16,``,O
16,Pemerintah,O
16,lambat,O
16,eksekusi,O
16,lambat,O
16,eksekusi,O
16,kapan,O
16,tidak,O
16,jelas,O
16,karena,O
16,lambatnya,O
16,pemerintah,O
16,mengambil,O
16,keputusan,O
16,'',O
16,kata,O
16,Fadil,B-PERSON
16,Zon,I-PERSON
16,di,O
16,Gedung,B-LOCATION
16,DPR,I-LOCATION
16,Senayan,I-LOCATION
16,Jakarta,I-LOCATION
16,Rabu,B-TIME
16,11/3/2015,I-TIME
17,Menurut,O
17,dia,O
17,karena,O
17,lambatnya,O
17,eksekusi,O
17,mati,O
17,ini,O
17,akhirnya,O
17,terjadi,O
17,perlawanan,O
17,dari,O
17,berbagai,O
17,pihak,O
17,termasuk,O
17,para,O
17,terpidana,O
18,Terpidana,O
18,mati,O
18,kasus,O
18,narkoba,O
18,yang,O
18,merupakan,O
18,warga,O
18,negara,O
18,Perancis,B-LOCATION
18,Serge,B-PERSON
18,Atlaoui,I-PERSON
18,mengajukan,O
18,upaya,O
18,hukum,O
18,lanjutan,O
18,berupa,O
18,peninjauan,O
18,kembali,O
18,ke,O
18,Pengadilan,B-ORGANIZATION
18,Negeri,I-ORGANIZATION
18,Tangerang,I-ORGANIZATION
19,Sebelumnya,O
19,terpidana,O
19,mati,O
19,asal,O
19,Filipina,B-LOCATION
19,Mary,B-PERSON
19,Jane,I-PERSON
19,Fiesta,I-PERSON
19,Veloso,I-PERSON
19,juga,O
19,telah,O
19,mengajukan,O
19,langkah,O
19,serupa,O
20,``,O
20,Ini,O
20,membuat,O
20,segala,O
20,macam,O
20,ekses,O
20,terjadi,O
20,Pemerintah,O
20,harusnya,O
20,bisa,O
20,mengambil,O
20,sikap,O
20,dengan,O
20,cepat,O
20,'',O
20,ucap,O
20,politisi,O
20,Partai,B-ORGANIZATION
20,Gerindra,I-ORGANIZATION
20,itu,O
21,Selain,O
21,perlawanan,O
21,dari,O
21,terpidana,O
21,menurut,O
21,Fadli,B-PERSON
21,Indonesia,B-LOCATION
21,juga,O
21,akan,O
21,terus,O
21,mendapatkan,O
21,tekanan,O
21,dari,O
21,dunia,O
21,internasional,O
21,jika,O
21,eksekusi,O
21,mati,O
21,terus,O
21,ditunda,O
22,Situasi,O
22,ini,O
22,menurut,O
22,dia,O
22,dapat,O
22,mengganggu,O
22,kerja,O
22,sama,O
22,yang,O
22,selama,O
22,ini,O
22,dijalin,O
22,dengan,O
22,negara,O
22,lainnya,O
23,``,O
23,Kita,O
23,melihat,O
23,negara,O
23,yang,O
23,selama,O
23,ini,O
23,bersahabat,O
23,sekarang,O
23,negara,O
23,internasional,O
23,semakin,O
23,memojokkan,O
23,kita,O
23,'',O
23,ucap,O
23,Fadli,B-PERSON
24,Kantor,B-ORGANIZATION
24,Wilayah,I-ORGANIZATION
24,Kementerian,I-ORGANIZATION
24,Hukum,I-ORGANIZATION
24,dan,I-ORGANIZATION
24,Hak,I-ORGANIZATION
24,Asasi,I-ORGANIZATION
24,Manusia,I-ORGANIZATION
24,sebelumnya,O
24,menyatakan,O
24,persiapan,O
24,di,O
24,Pulau,B-LOCATION
24,Nusakambangan,I-LOCATION
24,Cilacap,I-LOCATION
24,sebagai,O
24,tempat,O
24,eksekusi,O
24,para,O
24,terpidana,O
24,mati,O
24,telah,O
24,mencapai,O
24,100,B-QUANTITY
