Kalimat #,text
1,tiap
1,makan
1,kesini
1,ngga
1,pernah
1,cuma
1,1
1,atau
1,2
1,porsi
1,pasti
1,nambah
1,terus
1,karena
1,emang
1,pas
1,banget
1,rasanya
1,di
1,lidah
1,black
1,peppernya
1,yang
1,paling
1,enak
1,disini
1,emang
1,selalu
1,waiting
1,list
1,cuma
1,sei
1,sapi
1,lamalera
1,absolutely
1,worth
1,to
1,wait
1,recommended
2,se’i
2,sapi
2,sambel
2,lu’at
2,nya
2,dabest
2,pertama
2,kesini
2,pas
2,jam
2,8
2,malam
2,tp
2,udh
2,close
2,order
2,dan
2,cuma
2,bisa
2,take
2,away
2,karna
2,udh
2,terlalu
2,ramai
2,mungkin
2,ya
2,tapi
2,ga
2,asik
2,ya
2,kalo
2,kali
2,pertama
2,nyobain
2,se’i
2,tapi
2,dibungkus
2,jadi
2,kita
2,mutusin
2,untuk
2,dateng
2,lg
2,besok
2,paginya
2,dan
2,kita
2,pesan
2,ini
2,se’i
2,sapi
2,sambel
2,lu’at
2,se’i
2,sapi
2,sambel
2,matah
2,se’i
2,sapi
2,sambel
2,ijo
2,se’i
2,sapi
2,sambel
2,andaliman
2,se’i
2,sapi
2,ricarica
2,untuk
2,semua
2,daging
2,rasanya
2,sama
2,hanya
2,sambel
2,nya
2,aja
2,yg
2,ngebedain
2,dari
2,semua
2,sambel
2,aku
2,paling
2,suka
2,sambel
2,lu’at
2,rasa
2,sambelnya
2,seru
2,gtu
2,seger
2,dan
2,mungkin
2,karna
2,ada
2,perasan
2,jeruk
2,nipis
2,nya
2,untuk
2,pelayanannya
2,cukup
2,cepat
2,dan
2,ambiance
2,nya
2,jg
2,oke
2,kalau
2,mau
2,kesini
2,hindari
2,jam
2,makan
2,siang
2,ya
2,waiting
2,listnya
2,ganahan
2,hehe
2,tp
2,kalau
2,km
2,termasuk
2,org
2,yang
2,sabar
2,km
2,bisa
2,makan
2,cilor
2,goreng
2,yg
2,dijual
2,percis
2,didepan
2,kedai
2,sambil
2,nunggu
2,antrian
2,selamat
2,mencoba
3,makanan
3,yang
3,sebenarnya
3,simple
3,tapi
3,enak
3,banget
4,enak
4,bgtttt
4,sambel
4,enak
4,daging
4,sho
4,good
4,gatau
4,apa
4,kurangnya
4,pokoknya
4,gaada
5,rasa
5,sei
5,nya
5,blm
5,ada
5,yg
5,ngalahin
6,akhirnyaaa
6,nyobain
6,juga
6,mesen
6,se’i
6,sapi
6,yg
6,sambel
6,ijo
6,sambel
6,lu’at
6,blackpepper
6,worth
6,it
6,bangetttt
6,will
6,be
6,back
6,here
6,very
6,soon
6,servicenya
6,juga
6,cepet
6,dan
6,gak
6,lama
6,waiting
6,list
6,juga
6,engga
6,pake
6,lama
7,follow
7,my
7,ig
7,duocicip
7,easily
7,found
7,near
7,the
7,office
7,almost
7,gewddd
7,in
7,my
7,mouth
7,all
7,the
7,flavours
7,definitely
7,complement
7,of
7,the
7,beef
7,many
7,kind
7,of
7,sambal
7,sambal
7,luat
7,sambal
7,ijo
7,sambal
7,matah
7,black
7,pepper
7,ricarica
7,you
7,can
7,choose
7,whatever
7,you
7,want
7,for
7,making
7,more
7,delicious
8,dozen
8,of
8,us
8,having
8,dinner
8,ordered
8,1
8,kg
8,of
8,beef
8,platter
8,with
8,6
8,different
8,chilli
8,cost
8,us
8,600k
8,not
8,as
8,delicious
8,as
8,the
8,original
8,pork
8,sei
8,but
8,taste
8,almost
8,the
8,same
9,dagingnya
9,enak
9,walau
9,ga
9,terlalu
9,banyak
9,tapi
9,murah
9,dan
9,banyak
9,pilihan
9,rasa
9,bumbunya
9,mantap
9,tempatnya
9,selalu
9,ramai
10,pesen
10,martabak
10,jagung
10,keju
10,awal
10,dimakan
10,enak’
10,aja
10,setelahnya
10,terutama
10,setelah
10,minum
10,ada
10,rasa
10,pait
10,yang
10,ga
10,ilang’
10,itu
10,ganggu
10,banget
10,apa
10,emang
10,gitu
10,ya
11,martabak
11,ini
11,lokasinya
11,deket
11,banget
11,sama
11,rumahku
11,rasanya
11,enak
11,dan
11,ga
11,pernah
11,berubah
11,dari
11,aku
11,kecil
11,bener
11,bener
11,suka
11,sama
11,martabak
11,ini
12,dapet
12,info
12,ada
12,martabak
12,manis
12,terkenal
12,di
12,bandung
12,yaitu
12,martabak
12,nikmat
12,andir
12,diserach
12,ternyata
12,ada
12,beberapa
12,martabak
12,menggunakan
12,nama
12,nikmat
12,andir
12,tanyatanya
12,orang
12,bandung
12,disaranin
12,untuk
12,martabak
12,nikmat
12,andir
12,yang
12,beralamat
12,di
12,jljend
12,sudirman
12,no
12,415
12,pas
12,dateng
12,rame
12,banget
12,yang
12,antri
12,mulai
12,dari
12,ojol
12,sampe
12,keluarga
12,yang
12,special
12,kata
12,si
12,enci
12,sih
12,martabak
12,pandan
12,dengan
12,topping
12,jagung
12,nunggu
12,sampe
12,15
12,jam
12,akhirnya
12,tiba
12,juga
12,gilirannya
12,setengah
12,martabak
12,pandan
12,jagung
12,keju
12,setengah
12,martabak
12,pandan
12,keju
12,kacang
12,butter
12,special
12,idr
12,105
12,bahas
12,mulai
12,dari
12,adonannya
12,dulu
12,deh
12,adonannya
12,menurut
12,saya
12,beda
12,sama
12,martabak
12,jakarta
12,yang
12,mengembang
12,kalo
12,adonan
12,disini
12,tidak
12,terlalu
12,mengembang
12,dan
12,hampir
12,mirip
12,seperti
12,adonan
12,kue
12,pukis
12,martabak
12,disini
12,tidak
12,semanis
12,martabak
12,jakarta
12,karena
12,tidak
12,ada
12,taburan
12,gula
12,ke
12,atas
12,martabak
12,saat
12,sudah
12,matang
12,warna
12,hijau
12,berasal
12,air
12,suji
12,dan
12,pandan
12,untuk
12,topingnya
12,cukup
12,melimpah
12,jagung
12,berasal
12,dari
12,jagung
12,kalengan
12,naraya
12,sedangkan
12,untuk
12,keju
12,menggunakan
12,keju
12,cheddar
12,prochiz
12,cerita
12,sedikit
12,berasal
12,dari
12,info
12,si
12,enci
12,martabak
12,nikmat
12,andir
12,di
12,jl
12,jend
12,sudirman
12,ada
12,2
12,yang
12,pertama
12,adalah
12,sang
12,kakak
12,yg
12,buka
12,yang
12,saya
12,beli
12,saat
12,ini
12,dan
12,sang
12,adik
12,yang
12,buka
12,di
12,seberangnya
12,martabak
12,ini
12,berasal
12,dari
12,bangka
12,ya
12,dan
12,resep
12,warisan
12,turun
12,temurun
12,ada
12,lagi
12,cicinya
12,yang
12,buka
12,martabak
12,telur
12,di
12,sebelah
12,martabak
12,nikmat
12,andir
12,yang
12,saya
12,beli
12,sedangkan
12,ada
12,lagi
12,yang
12,menggunakan
12,merk
12,martabak
12,nikmat
12,andir
12,di
12,daerah
12,cibadak
12,lokasi
12,jl
12,jend
12,sudirman
12,no
12,415
12,andir
12,kota
12,bandung
12,jawa
12,barat
12,fasilitas
12,pembayaran
12,dapat
12,menggunakan
12,pay
13,whoa
13,pandan
13,martabak
13,is
13,the
13,best
14,oke
14,jadi
14,waktu
14,trip
14,family
14,ke
14,bandung
14,kita
14,jajal
14,dlu
14,yang
14,katanya
14,martabak
14,paling
14,enak
14,di
14,bandung
14,pesen
14,via
14,ojol
14,martabak
14,spesial
14,pandan
14,separo
14,keju
14,separo
14,coklat
14,kacang
14,tekstur
14,martabaknya
14,cukup
14,kenyal
14,empuk
14,tapi
14,masih
14,banyak
14,yg
14,lebih
14,empuk
14,kulitnya
14,berlubang
14,agak
14,gosong
14,topingnya
14,cukup
14,banyak
14,padet
14,untuk
14,aromanya
14,gk
14,berasa
14,sama
14,sekali
14,aroma
14,butternya
14,pdahal
14,pesen
14,yg
14,spesial
14,lebih
14,wangi
14,pandannya
14,di
14,jakarta
14,masih
14,banyak
14,yg
14,lebih
14,enak
15,very
15,tasty
15,martabak
15,we
15,ordered
15,nutella
15,with
15,additional
15,almond
15,the
15,nutella
15,was
15,superb
15,plus
15,crunchy
15,almond
15,enhance
15,everything
15,in
15,our
15,martabak
15,very
15,recommended
15,yes
15,it
15,is
15,a
15,bit
15,pricy
15,but
15,worth
15,the
15,taste
16,pesen
16,martabak
16,pandan
16,jagung
16,keju
16,rasanya
16,biasa
16,banget
16,reviewnya
16,berlebihan
16,sampe
16,blg
16,martabak
16,nya
16,enak
16,banget
16,banget
17,one
17,of
17,good
17,place
17,to
17,visit
17,when
17,you
17,want
17,to
17,have
17,martabak
17,manis
17,we
17,order
17,the
17,famous
17,one
17,which
17,is
17,the
17,martabak
17,pandan
17,jagung
17,keju
17,taste
17,superrbbb
17,might
17,got
17,long
17,queue
17,during
17,certain
17,period
18,follow
18,me
18,on
18,instagram
18,awakdoyankuliner
18,bistiknya
18,mantap
18,apalagi
18,nasinya
18,kyk
18,ada
18,butter
18,jadinya
18,makin
18,nikmat
18,escargots
18,favorit
18,banget
18,kalo
18,tiap
18,kesini
18,ginger
18,honey
18,beenya
18,seger
19,kacau
19,semua
19,makanan
19,disini
19,enak
19,enak
19,nggak
19,rugi
19,juga
19,sih
19,kalo
19,harus
19,waiting
19,list
19,dan
19,juga
19,ambience
19,nya
19,enak
19,buat
19,kumpul
19,sama
19,temen
19,servicenya
19,juga
19,oke
19,bgt
19,sayang
19,pas
19,kesana
19,ga
19,cobain
19,mille
19,crepes
19,nya
19,yg
19,katanya
19,enak
20,setiap
20,ke
20,bandung
20,pasti
20,sempetin
20,mampir
20,utk
20,lunchdinner
20,disini
20,karna
20,udh
20,pasti
20,makanannya
20,enak
20,mau
